[ "2" , "-" , "-" , "4" , "=" , "=" , "=" , "=" , "5" , "-" , "1" ]
[ "|" , "0" , "0" , "|" , "0" , "0" , "0" , "0" , "$" , "0" , "0" ]
[ "3" , "-" , "1" , "|" , "0" , "0" , "0" , "0" , "$" , "0" , "0" ]
[ "|" , "2" , "=" , "4" , "0" , "0" , "0" , "0" , "$" , "0" , "1" ]
[ "|" , "0" , "0" , "|" , "1" , "-" , "-" , "-" , "5" , "0" , "|" ]
[ "3" , "-" , "-" , "4" , "-" , "5" , "=" , "3" , "$" , "0" , "2" ]
[ "|" , "0" , "1" , "|" , "1" , "$" , "1" , "|" , "$" , "0" , "|" ]
[ "1" , "0" , "|" , "1" , "|" , "$" , "|" , "1" , "$" , "0" , "|" ]
[ "0" , "0" , "4" , "=" , "3" , "$" , "3" , "=" , "7" , "=" , "4" ]
[ "0" , "0" , "|" , "0" , "0" , "$" , "0" , "0" , "|" , "0" , "|" ]
[ "1" , "-" , "3" , "-" , "-" , "4" , "-" , "-" , "3" , "-" , "2" ]
